_id;Year;Month;Type;Departure station;Arrival station;Average travel time;Number of expected travels;Number of cancelled trains;Number of late trains at departure;Average delay at departure of all trains;Number of late trains at arrival;Average delay at arrival of all trains;Comment on delay at arrival;Number of late trains > 15min;Average delay of late trains > 15min;Number of late trains > 30min;Number of late trains > 60min;Percentage of late trains due to external causes;Percentage of late trains due to infrastructure;Percentage of late trains due to traffic management;Percentage of late trains due to rolling stock;Percentage of late trains due to station management and reuse of material;Percentage of late trains due to passenger traffic
2018_01_BORDEAUX_ST_JEAN_PARIS_MONTPARNASSE;2018;1;National;BORDEAUX ST JEAN;PARIS MONTPARNASSE;141;870;5;289;3.693179191;147;6.511117534;;110;6.511117534;44;8;36.13445378;31.09243697;10.92436975;15.96638655;5.042016807;0.840336134
2018_01_LA_ROCHELLE_VILLE_PARIS_MONTPARNASSE;2018;1;National;LA ROCHELLE VILLE;PARIS MONTPARNASSE;165;222;0;8;0.095795796;34;5.696096096;;22;5.696096096;5;0;15.38461538;30.76923077;38.46153846;11.53846154;3.846153846;0.0
2018_01_PARIS_MONTPARNASSE_QUIMPER;2018;1;National;PARIS MONTPARNASSE;QUIMPER;220;248;1;37;1.003981107;26;7.578947368;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";26;7.548387097;17;7;26.92307692;38.46153846;15.38461538;19.23076923;0.0;0.0
2018_01_PARIS_MONTPARNASSE_ST_MALO;2018;1;National;PARIS MONTPARNASSE;ST MALO;156;102;0;12;1.966666667;13;6.790686275;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";8;6.724757282;6;4;23.07692308;46.15384615;7.692307692;15.38461538;7.692307692;0.0
2018_01_PARIS_MONTPARNASSE_ST_PIERRE_DES_CORPS;2018;1;National;PARIS MONTPARNASSE;ST PIERRE DES CORPS;61;391;2;61;0.88688946;71;3.346486718;;17;3.346486718;6;0;21.21212121;42.42424242;9.090909091;21.21212121;6.060606061;0.0
2018_01_QUIMPER_PARIS_MONTPARNASSE;2018;1;National;QUIMPER;PARIS MONTPARNASSE;223;256;1;9;0.579477124;21;5.940849673;;21;5.917643229;9;2;27.77777778;55.55555556;0.0;5.555555556;5.555555556;5.555555556
2018_01_RENNES_LYON_PART_DIEU;2018;1;National;RENNES;LYON PART DIEU;233;99;0;23;0.696969697;6;2.244612795;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";6;2.244612795;2;1;0.0;50.0;25.0;25.0;0.0;0.0
2018_01_ST_PIERRE_DES_CORPS_PARIS_MONTPARNASSE;2018;1;National;ST PIERRE DES CORPS;PARIS MONTPARNASSE;61;410;1;173;2.954808476;114;4.359739201;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";26;4.359739201;9;0;22.72727273;45.45454545;16.66666667;12.12121212;1.515151515;1.515151515
2018_01_TOURS_PARIS_MONTPARNASSE;2018;1;National;TOURS;PARIS MONTPARNASSE;75;194;0;12;0.333075601;35;2.929295533;;7;2.929295533;1;0;25.0;56.25;6.25;12.5;0.0;0.0
2018_01_NANTES_STRASBOURG;2018;1;National;NANTES;STRASBOURG;303;39;0;22;1.664957265;5;5.741025641;;5;5.741025641;2;1;0.0;0.0;33.33333333;33.33333333;0.0;33.33333333
2018_01_PARIS_EST_STRASBOURG;2018;1;National;PARIS EST;STRASBOURG;112;494;9;49;0.576323024;14;0.77814433;;11;0.77814433;5;1;25.0;8.333333333;8.333333333;50.0;8.333333333;0.0
2018_01_STRASBOURG_PARIS_EST;2018;1;National;STRASBOURG;PARIS EST;112;507;7;239;3.5573;46;2.675233333;;34;2.675233333;11;1;35.8974359;12.82051282;17.94871795;15.38461538;5.128205128;12.82051282
2018_01_DUNKERQUE_PARIS_NORD;2018;1;National;DUNKERQUE;PARIS NORD;116;245;1;14;0.562704918;28;4.737363388;;19;4.737363388;8;2;26.08695652;26.08695652;26.08695652;17.39130435;4.347826087;0.0
2018_01_LILLE_LYON_PART_DIEU;2018;1;National;LILLE;LYON PART DIEU;190;292;8;122;4.375234742;36;7.582805164;;31;7.582805164;22;13;40.0;30.0;5.0;20.0;5.0;0.0
2018_01_BORDEAUX_ST_JEAN_TOURCOING;2018;1;National;BORDEAUX ST JEAN;TOURCOING;301;31;0;13;1.180645161;3;6.548387097;"7660 du 7 +42: Dérangemetn d'insta MPW
7660 du 26 +68: Soin matériel roulant";3;6.548387097;2;1;0.0;33.33333333;66.66666667;0.0;0.0;0.0
2018_01_PARIS_VAUGIRARD_NANTES;2018;1;National;PARIS VAUGIRARD;NANTES;140;62;0;15;2.522043011;10;7.565591398;;6;7.565591398;3;3;30.0;30.0;20.0;10.0;10.0;0.0
2018_01_RENNES_PARIS_VAUGIRARD;2018;1;National;RENNES;PARIS VAUGIRARD;111;31;0;7;0.64516129;2;3.160752688;;2;3.160752688;0;0;50.0;0.0;50.0;0.0;0.0;0.0
2018_01_TOURCOING_BORDEAUX_ST_JEAN;2018;1;National;TOURCOING;BORDEAUX ST JEAN;286;31;0;5;1.35483871;7;12.04408602;"7839 du 23 +310: Accident de personne
7839 du 21 +58: obstacle sur voie ou aux abords";7;12.04408602;3;1;0.0;0.0;33.33333333;66.66666667;0.0;0.0
2018_01_CHAMBERY_CHALLES_LES_EAUX_PARIS_LYON;2018;1;National;CHAMBERY CHALLES LES EAUX;PARIS LYON;184;278;1;149;8.019795427;69;10.27063779;;60;10.27063779;26;12;24.13793103;17.24137931;32.75862069;20.68965517;3.448275862;1.724137931
2018_01_LYON_PART_DIEU_MARNE_LA_VALLEE;2018;1;National;LYON PART DIEU;MARNE LA VALLEE;109;316;3;221;7.273375932;64;7.814643237;;53;7.814643237;27;10;18.36734694;34.69387755;12.24489796;20.40816327;6.12244898;8.163265306
2018_01_MONTPELLIER_PARIS_LYON;2018;1;National;MONTPELLIER;PARIS LYON;206;340;2;122;4.073619329;58;7.465581854;Heurt d’un chevreuil par OUIGO 7801 vers Valence-TGV;58;7.465581854;31;11;22.0;38.0;12.0;22.0;2.0;4.0
2018_01_MULHOUSE_VILLE_PARIS_LYON;2018;1;National;MULHOUSE VILLE;PARIS LYON;168;328;8;106;2.199895833;24;2.280208333;;19;2.280208333;8;4;37.5;12.5;29.16666667;4.166666667;4.166666667;12.5
2018_01_NICE_VILLE_PARIS_LYON;2018;1;National;NICE VILLE;PARIS LYON;346;197;0;84;4.370642978;33;8.570981387;Décontrôle d’aiguilles, à Solers;33;8.570981387;20;8;38.70967742;25.80645161;9.677419355;19.35483871;0.0;6.451612903
2018_01_PARIS_LYON_CHAMBERY_CHALLES_LES_EAUX;2018;1;National;PARIS LYON;CHAMBERY CHALLES LES EAUX;186;271;0;46;2.047478475;36;5.813653137;;26;5.813653137;17;5;14.70588235;26.47058824;20.58823529;32.35294118;5.882352941;0.0
2018_01_PARIS_LYON_LYON_PART_DIEU;2018;1;National;PARIS LYON;LYON PART DIEU;119;630;1;60;0.486221516;61;2.824933757;;49;2.824933757;24;5;22.03389831;44.06779661;11.86440678;20.33898305;1.694915254;0.0
2018_01_BARCELONA_PARIS_LYON;2018;1;International;BARCELONA;PARIS LYON;390;35;0;10;0.314285714;7;9.219047619;;7;9.219047619;3;3;14.28571429;14.28571429;14.28571429;57.14285714;0.0;0.0
2018_01_GENEVE_PARIS_LYON;2018;1;International;GENEVE;PARIS LYON;194;230;1;161;2.861863173;36;7.178238719;;36;7.178238719;19;7;69.44444444;16.66666667;5.555555556;0.0;5.555555556;2.777777778
2018_01_MADRID_MARSEILLE_ST_CHARLES;2018;1;International;MADRID;MARSEILLE ST CHARLES;481;16;1;6;1.0;3;7.255555556;;3;7.255555556;0;0;0.0;0.0;66.66666667;33.33333333;0.0;0.0
2018_01_PARIS_EST_FRANCFORT;2018;1;International;PARIS EST;FRANCFORT;226;177;2;19;0.611428571;20;7.836380952;;20;7.836380952;6;2;30.0;30.0;25.0;15.0;0.0;0.0
2018_01_PARIS_LYON_ZURICH;2018;1;International;PARIS LYON;ZURICH;241;153;3;25;1.232333333;28;7.782444444;;28;7.782444444;11;3;17.85714286;21.42857143;25.0;21.42857143;3.571428571;10.71428571
2018_01_BREST_PARIS_MONTPARNASSE;2018;1;National;BREST;PARIS MONTPARNASSE;225;284;3;4;0.03202847;19;5.389501779;;19;5.370390071;5;2;33.33333333;53.33333333;0.0;13.33333333;0.0;0.0
2018_01_PARIS_MONTPARNASSE_ANGOULEME;2018;1;National;PARIS MONTPARNASSE;ANGOULEME;126;239;4;36;0.751560284;28;4.113191489;;15;4.113191489;3;0;15.38461538;38.46153846;19.23076923;23.07692308;3.846153846;0.0
2018_01_PARIS_MONTPARNASSE_POITIERS;2018;1;National;PARIS MONTPARNASSE;POITIERS;93;506;4;62;0.644090305;52;2.716932271;;16;2.716932271;6;0;26.92307692;42.30769231;11.53846154;19.23076923;0.0;0.0
2018_01_PARIS_MONTPARNASSE_TOURS;2018;1;National;PARIS MONTPARNASSE;TOURS;72;186;0;30;1.09390681;48;4.334856631;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";9;4.334856631;5;0;19.23076923;46.15384615;11.53846154;19.23076923;3.846153846;0.0
2018_01_POITIERS_PARIS_MONTPARNASSE;2018;1;National;POITIERS;PARIS MONTPARNASSE;94;472;4;224;3.229700855;89;4.882371795;;42;4.882371795;10;0;15.78947368;45.61403509;19.29824561;15.78947368;1.754385965;1.754385965
2018_01_TOULOUSE_MATABIAU_PARIS_MONTPARNASSE;2018;1;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;257;184;0;23;1.193931159;26;7.510507246;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";26;7.510507246;12;3;59.09090909;22.72727273;4.545454545;9.090909091;4.545454545;0.0
2018_01_PARIS_EST_METZ;2018;1;National;PARIS EST;METZ;84;310;0;41;0.823548387;24;0.76;;7;0.76;1;0;26.66666667;6.666666667;13.33333333;40.0;13.33333333;0.0
2018_01_PARIS_EST_REIMS;2018;1;National;PARIS EST;REIMS;45;218;1;34;0.79078341;21;1.435560676;;6;1.435560676;0;0;18.75;12.5;6.25;18.75;43.75;0.0
2018_01_REIMS_PARIS_EST;2018;1;National;REIMS;PARIS EST;46;230;1;93;3.107569141;62;3.538937409;;20;3.538937409;3;0;17.94871795;41.02564103;20.51282051;5.128205128;0.0;15.38461538
2018_01_STRASBOURG_NANTES;2018;1;National;STRASBOURG;NANTES;286;40;1;9;0.898717949;5;8.574786325;;5;8.574786325;2;2;20.0;20.0;40.0;20.0;0.0;0.0
2018_01_DOUAI_PARIS_NORD;2018;1;National;DOUAI;PARIS NORD;77;197;3;39;1.802920962;37;5.046907216;;10;5.046907216;5;3;36.36363636;18.18181818;22.72727273;18.18181818;4.545454545;0.0
2018_01_LILLE_PARIS_NORD;2018;1;National;LILLE;PARIS NORD;63;579;9;164;2.344327485;101;4.229619883;;38;4.222212493;17;10;36.23188406;8.695652174;21.73913043;23.1884058;5.797101449;4.347826087
2018_01_LILLE_MARSEILLE_ST_CHARLES;2018;1;National;LILLE;MARSEILLE ST CHARLES;307;190;4;50;2.043458781;35;9.938261649;;35;9.938261649;13;7;57.14285714;19.04761905;4.761904762;9.523809524;4.761904762;4.761904762
2018_01_PARIS_NORD_DOUAI;2018;1;National;PARIS NORD;DOUAI;69;192;2;29;1.437105263;30;2.288070175;;11;2.288070175;5;3;37.5;33.33333333;12.5;12.5;4.166666667;0.0
2018_01_NANTES_PARIS_VAUGIRARD;2018;1;National;NANTES;PARIS VAUGIRARD;143;62;0;15;3.647043011;6;5.310215054;"7626 du 26 +140: Accident de personne
7626 du 20 +45: obstacle sur voie ou aux abords";5;5.310215054;3;1;0.0;50.0;0.0;16.66666667;16.66666667;16.66666667
2018_01_TOURCOING_MARSEILLE_ST_CHARLES;2018;1;National;TOURCOING;MARSEILLE ST CHARLES;309;31;1;0;0.0;1;2.345;7669 du 25 +159: Accident de personne;1;2.345;1;0;100.0;0.0;0.0;0.0;0.0;0.0
2018_01_BELLEGARDE_(AIN)_PARIS_LYON;2018;1;National;BELLEGARDE (AIN);PARIS LYON;162;259;3;115;3.758333333;53;7.531966146;;42;7.531966146;21;9;54.90196078;19.60784314;15.68627451;1.960784314;5.882352941;1.960784314
2018_01_LYON_PART_DIEU_MONTPELLIER;2018;1;National;LYON PART DIEU;MONTPELLIER;112;303;5;168;7.26303132;49;6.859731544;;34;6.859731544;19;8;30.76923077;33.33333333;10.25641026;17.94871795;7.692307692;0.0
2018_01_MACON_LOCHE_PARIS_LYON;2018;1;National;MACON LOCHE;PARIS LYON;99;225;1;153;8.031622024;49;6.021279762;;38;6.021279762;10;1;16.21621622;27.02702703;32.43243243;21.62162162;2.702702703;0.0
2018_01_MARNE_LA_VALLEE_MARSEILLE_ST_CHARLES;2018;1;National;MARNE LA VALLEE;MARSEILLE ST CHARLES;217;323;6;181;7.174973712;49;8.152208202;"7829 du 31 +81: collision de 7801
7827 du 20 +30: espacement suite incident porte 9736
7825 du 28 + 109: soin matériel roulant 7810";49;8.152208202;22;10;46.66666667;16.66666667;6.666666667;20.0;6.666666667;3.333333333
2018_01_MONTPELLIER_LYON_PART_DIEU;2018;1;National;MONTPELLIER;LYON PART DIEU;112;299;6;107;4.26410694;62;9.1221843;;46;9.1221843;21;4;28.57142857;34.28571429;22.85714286;11.42857143;2.857142857;0.0
2018_01_PARIS_LYON_MARSEILLE_ST_CHARLES;2018;1;National;PARIS LYON;MARSEILLE ST CHARLES;202;482;2;51;1.0721875;43;5.045868056;Dérangement de commutateur sur LN1 vers Tonnerre;43;5.045868056;20;8;41.02564103;30.76923077;12.82051282;15.38461538;0.0;0.0
2018_01_PARIS_LYON_MULHOUSE_VILLE;2018;1;National;PARIS LYON;MULHOUSE VILLE;168;299;5;47;1.487414966;49;6.390646259;;39;6.390646259;18;4;15.90909091;29.54545455;18.18181818;27.27272727;2.272727273;6.818181818
2018_01_PARIS_LYON_VALENCE_ALIXAN_TGV;2018;1;National;PARIS LYON;VALENCE ALIXAN TGV;130;323;0;47;1.415995872;44;5.24122807;;33;5.24122807;17;7;15.0;30.0;25.0;25.0;5.0;0.0
2018_01_PERPIGNAN_PARIS_LYON;2018;1;National;PERPIGNAN;PARIS LYON;305;166;0;54;3.401506024;36;10.48413655;Dérangement de commutateur sur LN1 vers Tonnerre;36;10.48413655;21;9;20.68965517;41.37931034;10.34482759;27.5862069;0.0;0.0
2018_01_TOULON_PARIS_LYON;2018;1;National;TOULON;PARIS LYON;241;273;0;113;4.131196581;42;7.002319902;Extinction du Tableau de Commande Optique (TCO) sur LGV, au niveau de Mâcon.;42;7.002319902;24;8;38.46153846;28.20512821;7.692307692;20.51282051;0.0;5.128205128
2018_01_LAUSANNE_PARIS_LYON;2018;1;International;LAUSANNE;PARIS LYON;219;144;3;110;2.491489362;21;4.70248227;;22;4.70248227;9;2;28.57142857;14.28571429;33.33333333;9.523809524;0.0;14.28571429
2018_01_PARIS_EST_STUTTGART;2018;1;International;PARIS EST;STUTTGART;186;155;4;20;1.34205298;15;5.728366446;;15;5.728366446;6;2;26.66666667;6.666666667;20.0;46.66666667;0.0;0.0
2018_01_PARIS_LYON_BARCELONA;2018;1;International;PARIS LYON;BARCELONA;387;62;0;16;2.667741935;8;8.548387097;;8;8.548387097;4;1;12.5;37.5;25.0;25.0;0.0;0.0
2018_01_ANGERS_SAINT_LAUD_PARIS_MONTPARNASSE;2018;1;National;ANGERS SAINT LAUD;PARIS MONTPARNASSE;91;393;2;204;3.455754476;77;6.0728474;;35;6.0728474;19;4;37.5;37.5;8.928571429;5.357142857;8.928571429;1.785714286
2018_01_PARIS_MONTPARNASSE_ANGERS_SAINT_LAUD;2018;1;National;PARIS MONTPARNASSE;ANGERS SAINT LAUD;90;385;3;49;0.730104712;52;4.24943281;;22;4.24943281;8;1;21.42857143;23.80952381;21.42857143;23.80952381;9.523809524;0.0
2018_01_PARIS_MONTPARNASSE_LAVAL;2018;1;National;PARIS MONTPARNASSE;LAVAL;84;217;0;32;1.455760369;66;5.82281106;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";16;5.82281106;5;2;24.24242424;54.54545455;3.03030303;12.12121212;3.03030303;3.03030303
2018_01_RENNES_PARIS_MONTPARNASSE;2018;1;National;RENNES;PARIS MONTPARNASSE;99;599;4;238;3.0667507;148;5.850420168;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";51;5.840604027;16;6;20.23809524;35.71428571;17.85714286;16.66666667;4.761904762;4.761904762
2018_01_METZ_PARIS_EST;2018;1;National;METZ;PARIS EST;85;307;1;128;3.431263617;64;3.320098039;;17;3.320098039;8;0;18.91891892;8.108108108;37.83783784;29.72972973;2.702702703;2.702702703
2018_01_NANCY_PARIS_EST;2018;1;National;NANCY;PARIS EST;93;306;1;71;1.981857923;33;1.192568306;;13;1.192568306;5;0;21.05263158;21.05263158;36.84210526;10.52631579;5.263157895;5.263157895
2018_01_PARIS_EST_NANCY;2018;1;National;PARIS EST;NANCY;94;299;3;40;0.658051802;13;1.024155405;;7;1.024155405;4;0;10.0;10.0;20.0;50.0;10.0;0.0
2018_01_LYON_PART_DIEU_LILLE;2018;1;National;LYON PART DIEU;LILLE;189;296;3;218;7.809613197;67;12.04897611;"Deux accidents de personne  se sont produits sur le secteur Nord, l’un à Fresnoy avec un train Eurostar le 16, et l’autre près de Lille Europe le 25 avec un train Ouigo. 
Aussi en matière de causes retards, le domaine « Externe réseau » est bien le plus marquant avec quasiment cinq points, représentant le tiers de l’irrégularité totale. Et pour les résultats composite et cinq minutes du mois, cela correspond à une baisse d’au moins deux points.
La cause des dérangements se place en seconde position mais avec un taux bien limité, exemple de l’Incident JIC* de Pierrefitte le 10 qui a concerné 14 TGV.";64;12.04897611;35;12;30.76923077;32.69230769;9.615384615;17.30769231;3.846153846;5.769230769
2018_01_PARIS_NORD_LILLE;2018;1;National;PARIS NORD;LILLE;64;568;5;98;1.499230314;97;4.133274127;;40;4.133274127;15;6;38.0952381;21.42857143;9.523809524;21.42857143;9.523809524;0.0
2018_01_BESANCON_FRANCHE_COMTE_TGV_PARIS_LYON;2018;1;National;BESANCON FRANCHE COMTE TGV;PARIS LYON;131;205;3;27;0.50990099;15;1.401320132;;9;1.401320132;3;2;30.76923077;23.07692308;23.07692308;0.0;7.692307692;15.38461538
2018_01_GRENOBLE_PARIS_LYON;2018;1;National;GRENOBLE;PARIS LYON;183;245;0;37;1.212244898;23;6.123741497;Le 9760 heurte un chevreuil vers Le-Creusot-Montchanin-TGV;25;6.123741497;13;6;17.64705882;52.94117647;0.0;23.52941176;5.882352941;0.0
2018_01_NIMES_PARIS_LYON;2018;1;National;NIMES;PARIS LYON;176;341;2;174;5.371238938;72;7.793854474;;59;7.793854474;32;12;18.75;40.625;17.1875;17.1875;1.5625;4.6875
2018_01_PARIS_LYON_GRENOBLE;2018;1;National;PARIS LYON;GRENOBLE;180;262;0;40;1.226208651;40;6.618193384;;32;6.618193384;15;8;15.38461538;25.64102564;28.20512821;28.20512821;2.564102564;0.0
2018_01_PARIS_LYON_LE_CREUSOT_MONTCEAU_MONTCHANIN;2018;1;National;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;78;208;0;18;0.502804487;36;4.026282051;;14;4.026282051;8;0;20.0;32.0;24.0;20.0;4.0;0.0
2018_01_PARIS_LYON_MACON_LOCHE;2018;1;National;PARIS LYON;MACON LOCHE;95;227;1;31;1.88620944;27;4.591814159;;23;4.591814159;13;3;12.0;44.0;4.0;36.0;4.0;0.0
2018_01_PARIS_LYON_NIMES;2018;1;National;PARIS LYON;NIMES;177;294;0;47;1.626247166;54;6.489739229;;38;6.489739229;19;8;20.0;32.0;20.0;20.0;8.0;0.0
2018_01_SAINT_ETIENNE_CHATEAUCREUX_PARIS_LYON;2018;1;National;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;168;118;0;12;0.575564972;13;4.12019774;;7;4.12019774;4;2;40.0;30.0;20.0;0.0;10.0;0.0
2018_01_FRANCFORT_PARIS_EST;2018;1;International;FRANCFORT;PARIS EST;224;177;3;43;1.339750958;26;6.438984674;;25;6.438984674;6;1;30.76923077;15.38461538;23.07692308;15.38461538;7.692307692;7.692307692
2018_01_ITALIE_PARIS_LYON;2018;1;International;ITALIE;PARIS LYON;439;95;1;79;4.962765957;34;17.09184397;;34;17.09184397;12;7;23.52941176;17.64705882;41.17647059;17.64705882;0.0;0.0
2018_01_PARIS_LYON_ITALIE;2018;1;International;PARIS LYON;ITALIE;394;94;0;27;2.997695035;22;11.60106383;;22;11.60106383;15;6;33.33333333;19.04761905;23.80952381;14.28571429;9.523809524;0.0
2018_01_PARIS_LYON_LAUSANNE;2018;1;International;PARIS LYON;LAUSANNE;222;151;2;10;0.368008949;20;6.025838926;;20;6.025838926;6;2;31.57894737;26.31578947;31.57894737;5.263157895;0.0;5.263157895
2018_01_ZURICH_PARIS_LYON;2018;1;International;ZURICH;PARIS LYON;176;122;3;65;2.386554622;8;2.390616246;;7;2.390616246;3;1;37.5;12.5;25.0;12.5;0.0;12.5
2018_01_ANGOULEME_PARIS_MONTPARNASSE;2018;1;National;ANGOULEME;PARIS MONTPARNASSE;125;270;4;135;2.971365915;56;6.464974937;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";33;6.464974937;9;0;26.92307692;42.30769231;9.615384615;15.38461538;3.846153846;1.923076923
2018_01_LYON_PART_DIEU_RENNES;2018;1;National;LYON PART DIEU;RENNES;232;88;2;50;4.213372093;20;10.8255814;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";20;10.8255814;9;2;10.52631579;63.15789474;10.52631579;15.78947368;0.0;0.0
2018_01_NANTES_PARIS_MONTPARNASSE;2018;1;National;NANTES;PARIS MONTPARNASSE;128;525;3;193;2.720210728;84;7.225734355;;56;7.225734355;29;11;37.33333333;26.66666667;21.33333333;4.0;9.333333333;1.333333333
